,Flag.leaf.length,Flag.leaf.width,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Seed.length,Seed.width
321,30.64166667,1.533333333,3.128221457,131.9166667,25.25,11.16666667,5.136288513,5.197114861,7.325209091,2.834527273
322,31.71818182,1.354545455,3.447338538,125,24.27,8,4.899195732,4.94875989,8.448358333,2.774625
323,35.35833333,1.458333333,2.999890284,141.9166667,27.86666667,11.22222222,5.20720669,5.294141995,7.827616667,2.831783333
324,26.11666667,1.325,3.622116238,133.9166667,24.30833333,9.333333333,4.926649638,4.996085513,7.288075,2.86105
325,23.125,1.233333333,3.745574798,154.4166667,26.23333333,9.555555556,4.721740365,5.02028555,8.051716667,2.7473
326,44.775,1.45,3.73369347,125.4444444,30.13333333,9.583333333,5.150397236,5.202173506,7.658066667,2.746225
327,24.71666667,0.958333333,3.723683376,117.5,23.36363636,7.75,4.48863637,4.567468319,8.0125,2.960275
328,21.1,0.675,4.119037175,130.4166667,20.425,6.333333333,4.22561646,4.373658385,7.457666667,2.684675
329,31.66666667,1.15,3.624340933,132,21.97777778,7.333333333,4.71280085,4.848472807,7.693391667,2.985466667
330,30.675,1.1,3.619886583,137,25.75454545,7.363636364,4.375185103,4.482488809,9.080083333,3.075125
331,26.54166667,1.133333333,3.235405127,113.5,22.21666667,7.333333333,4.364689715,4.439705746,8.546791667,3.648916667
332,29.34166667,1.041666667,3.743604354,133.5,25.86666667,8.444444444,4.782935926,4.893079505,7.478466667,3.0337
333,26.73636364,0.845454545,3.784189634,81.54545455,19.3375,7.875,4.450852826,4.639571613,7.054790909,3.2684
334,28.41666667,1.316666667,2.974678864,112.0833333,20.175,10,5.012855051,5.131376912,9.118091667,3.80845
335,24.26666667,1.016666667,3.674188739,86.5,19.30909091,8.363636364,4.564348191,4.74255777,8.485025,3.294875
336,25.30833333,1.45,3.258096538,129,22.43333333,7,4.613318715,4.655690454,8.207058333,3.325308333
337,27.975,1.15,4.01186834,127.5833333,23.08181818,9.363636364,4.832667881,4.925275445,7.922233333,3.237416667
338,31.275,1.058333333,2.999890284,111.6666667,23.2,9.636363636,4.862627325,5.00027882,7.518025,3.688066667
339,41.03333333,1.008333333,3.915350796,147.25,25.03333333,9.666666667,4.620506526,4.865434345,8.348808333,3.164966667
340,35.19166667,0.966666667,3.988984047,135.6666667,32.54444444,9.777777778,4.814890717,5.27014649,8.772433333,2.4884
341,36.94166667,1.425,3.442019376,132,24.44444444,9.444444444,5.16062147,5.229162144,9.104441667,2.674675
342,36.23333333,1.408333333,2.931193752,118.0833333,25.12222222,11.11111111,5.196038517,5.525452939,8.109954545,3.013809091
343,30.45,1.2,2.974678864,118.5833333,22.41666667,11.45454545,4.949404428,5.120168908,9.059933333,3.346508333
344,25.45,0.95,3.597312261,129.5,22.06363636,8,4.361359998,4.647881304,7.091933333,3.47735
345,29.41666667,1.425,3.348307918,131.75,22.89090909,7.545454545,4.467995802,4.525733355,8.375166667,3.6073
346,35.41666667,1.225,3.63758616,129.1666667,24.88888889,8.444444444,5.041664036,5.132584722,9.194458333,2.663225
347,35.33333333,1.525,3.087247382,139.5833333,24.65454545,9.636363636,4.951710615,5.065754593,9.335483333,3.172291667
348,25.675,1.108333333,3.815879145,123.9166667,23.875,8.083333333,4.62333749,4.684443367,8.028416667,3.172316667
349,28.10833333,1.3,3.851919081,124.0833333,22.1625,10.875,5.153933649,5.246439106,6.897633333,3.073308333
350,26.83333333,1.716666667,2.233592222,107.5,24.1,10.88888889,4.8506088,4.998440021,8.77335,3.362083333
